page_url,image_url,normalized_page_url,source_file,source_file_mtime,date_added
https://jav.guru/1048639/svvrt-087-amateur-variety-shonan-local-wives-nipple-teasing-intercrural-cum-challenge-a-big-titted-wife-apologizes-to-her-kids-saying-sorry-while-single-mindedly-rubbing-a-rock-hard-huge-coc/,https://cdn.javmiku.com/wp-content/uploads/2026/09/1svvrt00087pl-550x374.jpg,https://jav.guru/1048639/svvrt-087-amateur-variety-shonan-local-wives-nipple-teasing-intercrural-cum-challenge-a-big-titted-wife-apologizes-to-her-kids-saying-sorry-while-single-mindedly-rubbing-a-rock-hard-huge-coc/,jav_links_2026-09-10_140336.csv,2026-09-10 14:03:36,2026-09-10
https://jav.guru/1048648/nact-176-i-thought-he-was-feeble-but-his-lower-body-was-rock-hard-the-forbidden-two-rounds-where-a-sexually-frustrated-wife-turns-into-a-bitch-through-her-father-in-laws-sexual-caregiving-hikaru/,https://cdn.javmiku.com/wp-content/uploads/2026/09/h_237nact176pl-550x374.jpg,https://jav.guru/1048648/nact-176-i-thought-he-was-feeble-but-his-lower-body-was-rock-hard-the-forbidden-two-rounds-where-a-sexually-frustrated-wife-turns-into-a-bitch-through-her-father-in-laws-sexual-caregiving-hikaru/,jav_links_2026-09-10_140336.csv,2026-09-10 14:03:36,2026-09-10
https://jav.guru/1048662/ipzz-944-is-it-okay-if-i-think-of-you-as-my-girlfriend-until-graduation-teacher-former-celebrity-private-tutor-runa-sensei-healed-me-who-distrusts-women-with-gentle-tongue-kisses-and-envelopin/,https://cdn.javmiku.com/wp-content/uploads/2026/09/ipzz944pl-550x374.jpg,https://jav.guru/1048662/ipzz-944-is-it-okay-if-i-think-of-you-as-my-girlfriend-until-graduation-teacher-former-celebrity-private-tutor-runa-sensei-healed-me-who-distrusts-women-with-gentle-tongue-kisses-and-envelopin/,jav_links_2026-09-10_140336.csv,2026-09-10 14:03:36,2026-09-10
https://jav.guru/1048665/gvh-877-i-love-masters-piss-guzzling-and-gulping-it-down-the-convenient-piss-drinking-jk-maid-meguri-chan-minoshima-meguri/,https://cdn.javmiku.com/wp-content/uploads/2026/09/gvh877pl-550x374.jpg,https://jav.guru/1048665/gvh-877-i-love-masters-piss-guzzling-and-gulping-it-down-the-convenient-piss-drinking-jk-maid-meguri-chan-minoshima-meguri/,jav_links_2026-09-10_140336.csv,2026-09-10 14:03:36,2026-09-10
https://jav.guru/1048671/flav-427-cock-encouraging-cheer-erection-charge-girl-plump-fleshy-big-ass-cheerleader-satomi-mioka/,https://cdn.javmiku.com/wp-content/uploads/2026/09/flav427pl-550x374.jpg,https://jav.guru/1048671/flav-427-cock-encouraging-cheer-erection-charge-girl-plump-fleshy-big-ass-cheerleader-satomi-mioka/,jav_links_2026-09-10_140336.csv,2026-09-10 14:03:36,2026-09-10
https://jav.guru/1048672/ekdv-827-this-bitch-is-in-full-heat-right-now-want-to-try-being-sui-tsukinoe/,https://cdn.javmiku.com/wp-content/uploads/2026/09/ekdv827pl-550x374.jpg,https://jav.guru/1048672/ekdv-827-this-bitch-is-in-full-heat-right-now-want-to-try-being-sui-tsukinoe/,jav_links_2026-09-10_140336.csv,2026-09-10 14:03:36,2026-09-10
https://jav.guru/1048675/dvaj-755-girls-volleyball-club-member-ordered-by-her-coach-into-fully-nude-volleyball-special-training-gets-her-protruding-big-ass-slammed-into-while-holding-the-receive-stance/,https://cdn.javmiku.com/wp-content/uploads/2026/09/dvaj755pl-550x374.jpg,https://jav.guru/1048675/dvaj-755-girls-volleyball-club-member-ordered-by-her-coach-into-fully-nude-volleyball-special-training-gets-her-protruding-big-ass-slammed-into-while-holding-the-receive-stance/,jav_links_2026-09-10_140336.csv,2026-09-10 14:03:36,2026-09-10
https://jav.guru/1048680/dldss-529-shocking-transfer-to-dahlia-kumi-koizumi-41-years-old-from-married-woman-to-actress-that-real-married-woman-has-arrived/,https://cdn.javmiku.com/wp-content/uploads/2026/09/1dldss00529pl-550x374.jpg,https://jav.guru/1048680/dldss-529-shocking-transfer-to-dahlia-kumi-koizumi-41-years-old-from-married-woman-to-actress-that-real-married-woman-has-arrived/,jav_links_2026-09-10_140336.csv,2026-09-10 14:03:36,2026-09-10
https://jav.guru/1048683/cemd-889-humiliation-rape-fitted-with-a-remote-vibrator-and-a-downtown-date-44-ruka-itoi/,https://cdn.javmiku.com/wp-content/uploads/2026/09/cemd889pl-550x374.jpg,https://jav.guru/1048683/cemd-889-humiliation-rape-fitted-with-a-remote-vibrator-and-a-downtown-date-44-ruka-itoi/,jav_links_2026-09-10_140336.csv,2026-09-10 14:03:36,2026-09-10
https://jav.guru/1048684/cemd-885-one-time-only-anal-sex-comeback-rion-izumi-is-this-the-last-well-see-of-it-tried-negotiating-for-anal-sex-during-the-shoot/,https://cdn.javmiku.com/wp-content/uploads/2026/09/cemd885pl-550x374.jpg,https://jav.guru/1048684/cemd-885-one-time-only-anal-sex-comeback-rion-izumi-is-this-the-last-well-see-of-it-tried-negotiating-for-anal-sex-during-the-shoot/,jav_links_2026-09-10_140336.csv,2026-09-10 14:03:36,2026-09-10
https://jav.guru/1048685/cemd-884-the-hardcore-masochist-new-office-lady-whose-bondage-fetish-hidden-under-her-recruit-suit-gets-exposed-meisa-nishimoto/,https://cdn.javmiku.com/wp-content/uploads/2026/09/cemd884pl-550x374.jpg,https://jav.guru/1048685/cemd-884-the-hardcore-masochist-new-office-lady-whose-bondage-fetish-hidden-under-her-recruit-suit-gets-exposed-meisa-nishimoto/,jav_links_2026-09-10_140336.csv,2026-09-10 14:03:36,2026-09-10
https://jav.guru/1048686/avsa-456-perverted-sluts-reverse-confinement-panic-room-mina-kitano/,https://cdn.javmiku.com/wp-content/uploads/2026/09/avsa456pl-550x374.jpg,https://jav.guru/1048686/avsa-456-perverted-sluts-reverse-confinement-panic-room-mina-kitano/,jav_links_2026-09-10_140336.csv,2026-09-10 14:03:36,2026-09-10
https://jav.guru/1048914/ydns-011-train-bareback-fucking-punishment-011/,https://cdn.javmiku.com/wp-content/uploads/2026/09/ydns011pl-550x374.jpg,https://jav.guru/1048914/ydns-011-train-bareback-fucking-punishment-011/,jav_links_2026-09-10_140336.csv,2026-09-10 14:03:36,2026-09-10
https://jav.guru/1048915/usag-097-first-deepthroat-amateur-girls-drooling-while-taking-it-to-the-limit-and-having-the-back-of-their-throats-developed/,https://cdn.javmiku.com/wp-content/uploads/2026/09/usag097pl-550x374.jpg,https://jav.guru/1048915/usag-097-first-deepthroat-amateur-girls-drooling-while-taking-it-to-the-limit-and-having-the-back-of-their-throats-developed/,jav_links_2026-09-10_140336.csv,2026-09-10 14:03:36,2026-09-10
https://jav.guru/1048916/thpa-16-super-heroine-in-peril-vol-116-beautiful-girl-warrior-sailor-mermaid-the-trap-of-the-mimic-monster-medamos-kana-yura/,https://cdn.javmiku.com/wp-content/uploads/2026/09/h_173thpa16pl-550x374.jpg,https://jav.guru/1048916/thpa-16-super-heroine-in-peril-vol-116-beautiful-girl-warrior-sailor-mermaid-the-trap-of-the-mimic-monster-medamos-kana-yura/,jav_links_2026-09-10_140336.csv,2026-09-10 14:03:36,2026-09-10
https://jav.guru/1048917/tcd-349-a-day-with-me-and-my-girlfriend-who-has-a-cock-taxi-date-9-junjun/,https://cdn.javmiku.com/wp-content/uploads/2026/09/tcd349pl-550x374.jpg,https://jav.guru/1048917/tcd-349-a-day-with-me-and-my-girlfriend-who-has-a-cock-taxi-date-9-junjun/,jav_links_2026-09-10_140336.csv,2026-09-10 14:03:36,2026-09-10
https://jav.guru/1048918/svvrt-086-amateur-variety-bikini-gals-approached-on-shonan-beach-try-a-cooling-lotion-massage-to-cool-down-their-flushed-bodies-their-temperature-should-drop-but-instead-their-lust-awakens/,https://cdn.javmiku.com/wp-content/uploads/2026/09/1svvrt086pl-550x374.jpg,https://jav.guru/1048918/svvrt-086-amateur-variety-bikini-gals-approached-on-shonan-beach-try-a-cooling-lotion-massage-to-cool-down-their-flushed-bodies-their-temperature-should-drop-but-instead-their-lust-awakens/,jav_links_2026-09-10_140336.csv,2026-09-10 14:03:36,2026-09-10
https://jav.guru/1048919/svvrt-085-amateur-variety-endure-it-for-prize-money-fail-and-get-instantly-fucked-by-a-huge-cock-slim-bodied-college-girl-holds-milk-in-her-mouth-for-a-spread-legged-facesitting-cunnilingus-chall/,https://cdn.javmiku.com/wp-content/uploads/2026/09/1svvrt085pl-550x374.jpg,https://jav.guru/1048919/svvrt-085-amateur-variety-endure-it-for-prize-money-fail-and-get-instantly-fucked-by-a-huge-cock-slim-bodied-college-girl-holds-milk-in-her-mouth-for-a-spread-legged-facesitting-cunnilingus-chall/,jav_links_2026-09-10_140336.csv,2026-09-10 14:03:36,2026-09-10
